======== CIFAR100_FEDPROX_SMALL_RESNET14 =========
client 0 train samples 2500
client 1 train samples 2500
client 2 train samples 2500
client 3 train samples 2500
client 4 train samples 2500
client 5 train samples 2500
client 6 train samples 2500
client 7 train samples 2500
client 8 train samples 2500
client 9 train samples 2500
client 10 train samples 2500
client 11 train samples 2500
client 12 train samples 2500
client 13 train samples 2500
client 14 train samples 2500
client 15 train samples 2500
client 16 train samples 2500
client 17 train samples 2500
client 18 train samples 2500
client 19 train samples 2500
val samples--------- 1000
test samples-------- 9000
===================== Start Stage-1 =====================
len(client_models)=20
len(train_loaders)=20
opt[0]=SGD (
Parameter Group 0
    dampening: 0
    differentiable: False
    foreach: None
    lr: 0.01
    maximize: False
    momentum: 0.9
    nesterov: False
    weight_decay: 0
)
001 == clients == 1.498 train loss 1.137 | test loss 8.006 | train acc 0.506 | test acc 0.025    == global model ==  train loss 4.702 | test loss 4.673 | train acc 0.009 | test acc 0.009 
002 == clients == 1.459 train loss 1.115 | test loss 7.825 | train acc 0.506 | test acc 0.025    == global model ==  train loss 4.533 | test loss 4.519 | train acc 0.009 | test acc 0.007 
003 == clients == 1.407 train loss 1.184 | test loss 7.944 | train acc 0.516 | test acc 0.025    == global model ==  train loss 4.426 | test loss 4.418 | train acc 0.012 | test acc 0.012 
004 == clients == 1.376 train loss 1.095 | test loss 7.962 | train acc 0.531 | test acc 0.025    == global model ==  train loss 4.340 | test loss 4.343 | train acc 0.013 | test acc 0.023 
005 == clients == 1.347 train loss 1.041 | test loss 7.803 | train acc 0.551 | test acc 0.024    == global model ==  train loss 4.281 | test loss 4.285 | train acc 0.015 | test acc 0.026 
006 == clients == 1.334 train loss 1.039 | test loss 7.665 | train acc 0.551 | test acc 0.028    == global model ==  train loss 4.239 | test loss 4.239 | train acc 0.014 | test acc 0.028 
007 == clients == 1.306 train loss 1.037 | test loss 7.778 | train acc 0.552 | test acc 0.027    == global model ==  train loss 4.196 | test loss 4.207 | train acc 0.016 | test acc 0.028 
008 == clients == 1.279 train loss 0.997 | test loss 7.823 | train acc 0.571 | test acc 0.026    == global model ==  train loss 4.161 | test loss 4.183 | train acc 0.018 | test acc 0.024 
009 == clients == 1.267 train loss 1.002 | test loss 7.821 | train acc 0.572 | test acc 0.029    == global model ==  train loss 4.134 | test loss 4.147 | train acc 0.021 | test acc 0.021 
010 == clients == 1.233 train loss 1.012 | test loss 7.698 | train acc 0.574 | test acc 0.027    == global model ==  train loss 4.106 | test loss 4.124 | train acc 0.024 | test acc 0.030 
011 == clients == 1.237 train loss 0.991 | test loss 7.893 | train acc 0.585 | test acc 0.027    == global model ==  train loss 4.100 | test loss 4.115 | train acc 0.026 | test acc 0.023 
012 == clients == 1.219 train loss 0.962 | test loss 7.850 | train acc 0.593 | test acc 0.028    == global model ==  train loss 4.083 | test loss 4.091 | train acc 0.026 | test acc 0.028 
013 == clients == 1.209 train loss 0.988 | test loss 7.795 | train acc 0.573 | test acc 0.029    == global model ==  train loss 4.057 | test loss 4.071 | train acc 0.031 | test acc 0.030 
014 == clients == 1.176 train loss 0.948 | test loss 7.746 | train acc 0.600 | test acc 0.028    == global model ==  train loss 4.034 | test loss 4.054 | train acc 0.030 | test acc 0.033 
